2024,05,06,月,Start time not available,劇場版『ウマ娘 プリティーダービー 新時代の扉』完成披露プレミア,!_東京都内某所

2019,12,27,金,11:30,フジテレビ『オダイバ！！超次元音楽祭』観覧 収録日程C,フジテレビ湾岸スタジオ

2019,05,03,金,15:00,小倉 唯 LIVE TOUR 2019 「Step Apple」公開リハーサル,幕張メッセ イベントホール
2019,06,16,日,16:00,ゼクストリーム 2019.SUMMER in 秋葉原 閉会式,ベルサール秋葉原
2019,06,02,日,12:00,ホビージャパン半世紀祭り TVアニメ「インフィニット・デンドログラム」 〜トークイベントへようこそ！ 僕らは君たちの来訪を歓迎するよ！〜,秋葉原UDX2F アキバ・スクエア(AKIBA SQUARE)

2018,04,14,土,13:00,「Wonderland Wars Cast Song」発売記念トーク＆試聴会,レンタルホール「スペース・セブン」

2018,06,02,土,12:00,「ゆいゆい＊カンパニー」限定!!☆ミュージックビデオエキストラ募集☆,!_神奈川県内某所

2018,02,25,日,17:30,「ルッキングオーダー -diva.Kurush-（CV.小倉唯）」発売記念イベント,科学技術館サイエンスホール
2018,02,25,日,14:30,「AH-C620RAG アストロガールズ・スペシャルエディション」発売記念イベント,科学技術館サイエンスホール
2018,02,18,日,15:30,ワンダーフェスティバル2018[冬] GA文庫2018発表ステージ,幕張メッセ 国際展示場ホール

2016,11,16,水,19:00,TBS「ライブB♪」番組観覧 2016/11/16,TBSテレビ Bスタジオ

2017,02,26,日,15:00,デノン AH-D1100 アストロガールズ・スペシャルエディション発売記念イベント,東京アニメ・声優＆eスポーツ専門学校(旧：東京アニメ・声優専門学校 北葛西校舎)
2017,02,19,日,12:00,音泉祭り2017冬 佐倉としたい大西＋＜音泉＞新番組祭り！,よみうりランド 日テレらんらんホール

2013,05,06,月,19:00,小倉唯2ndシングル発売記念イベント「小倉唯、会いに行くよ。」 ゲーマーズ津田沼店,ゲーマーズ津田沼店
2012,07,22,日,18:00,小倉唯デビューシングルイベント「小倉唯、会いに行くよ。～Road to 小倉～」ゲーマーズ小倉店,ゲーマーズ小倉店

2015,06,28,日,18:30,アクエリオン10周年スペシャルイベント「合体祭～渋公で叫べ“気持ちいぃ～”」【第2部】,[初代]渋谷公会堂(渋谷C.C.Lemonホール)(閉館)
2015,06,28,日,14:30,アクエリオン10周年スペシャルイベント「合体祭～渋公で叫べ“気持ちいぃ～”」【第1部】,[初代]渋谷公会堂(渋谷C.C.Lemonホール)(閉館)

2015,05,17,日,17:00,DOG DAYS″特別興業 -フロニャ祭2015-,舞浜アンフィシアター
2015,05,10,日,18:30,GA文庫10周年アニバーサリーフェスタ！【夜の部】,神奈川県民ホール 大ホール
2015,05,10,日,14:30,GA文庫10周年アニバーサリーフェスタ！【昼の部】,神奈川県民ホール 大ホール
2014,03,09,日,16:00,秋葉原ゼクストリーム 2014.SPRING ステージイベント,ベルサール秋葉原
2013,12,02,月,19:00,「MUSIC JAPAN」番組観覧 2013年12月2日,NHKホール
2014,07,20,日,12:00,『MF文庫J 夏の学園祭2014』「夏の学園祭2014」スペシャルトーク＆ライブ,秋葉原UDX2F アキバ・スクエア(AKIBA SQUARE)

2013,07,28,日,17:10,『MF文庫J 夏の学園祭2013』「機巧少女は傷つかない」スペシャルステージ,秋葉原UDX2F アキバ・スクエア(AKIBA SQUARE)
2013,03,31,日,13:00,アニメコンテンツエキスポ2013 REDステージ Program5 「アース・スター アニメまつり」,幕張メッセ 国際展示場ホール

2012,12,16,日,18:00,「カンピオーネ！～まつろわぬ神々と神殺しの魔王～」聖誕祭 夜の部,科学技術館サイエンスホール
2012,12,16,日,15:00,「カンピオーネ！～まつろわぬ神々と神殺しの魔王～」聖誕祭 昼の部,科学技術館サイエンスホール
